# Histogram
000000 000000	000000	000000	000000	000000
000001 000000	000000	000000	000000	000000
000002 000000	000000	000000	000000	000000
000003 000000	000000	000000	000000	000000
000004 000000	000000	000000	000000	000000
000005 000000	000000	000000	000000	000000
000006 000000	000000	000000	000000	000000
000007 000000	000000	000000	000000	000000
000008 000000	000000	000000	000004	000004
000009 000000	000000	000000	000051	000051
000010 000001	000041	000053	000121	000216
000011 000130	000388	000355	000342	001215
000012 000434	000564	000472	000380	001850
000013 000400	000482	000458	000331	001671
000014 000251	000565	000483	000386	001685
000015 000346	000476	000455	000395	001672
000016 000287	000504	000477	000449	001717
000017 000307	000513	000506	000498	001824
000018 000308	000454	000501	000390	001653
000019 000282	000397	000373	000404	001456
000020 000199	000355	000315	000326	001195
000021 000191	000341	000296	000305	001133
000022 000181	000280	000300	000267	001028
000023 000163	000309	000282	000244	000998
000024 000151	000267	000275	000208	000901
000025 000166	000278	000223	000192	000859
000026 000161	000210	000208	000161	000740
000027 000156	000183	000166	000143	000648
000028 000161	000163	000125	000119	000568
000029 000127	000151	000120	000075	000473
000030 000249	000252	000343	000455	001299
000031 001783	001650	002449	002734	008616
000032 003172	003929	003236	003704	014041
000033 002728	003908	002703	001792	011131
000034 001967	002435	002256	001497	008155
000035 001359	001642	001537	000921	005459
000036 001752	002044	002530	001560	007886
000037 001615	001948	001990	001498	007051
000038 002576	002286	002560	002453	009875
000039 001918	002085	002075	002377	008455
000040 002592	002500	003004	002367	010463
000041 002574	003121	003035	002277	011007
000042 002534	002898	003267	002384	011083
000043 002403	002671	002623	002161	009858
000044 002244	002487	002393	002789	009913
000045 002991	003270	003281	005549	015091
000046 005479	006697	006136	009597	027909
000047 008829	010700	009639	009639	038807
000048 007519	010122	010082	008263	035986
000049 007301	009833	009555	010264	036953
000050 011284	013365	012726	012934	050309
000051 012484	015451	016088	018850	062873
000052 023939	029158	037422	053485	144004
000053 061829	079904	084307	105201	331241
000054 092277	126534	122528	124352	465691
000055 082110	118235	112794	103604	416743
000056 079409	103407	109293	128122	420231
000057 125258	160047	182863	228016	696184
000058 187126	260276	271193	320227	1038822
000059 217260	304227	293119	336417	1151023
000060 215767	292467	284333	411634	1204201
000061 358720	471954	585834	825665	2242173
000062 783136	1134546	1407489	1726601	5051772
000063 1196841	1917603	2076876	2324437	7515757
000064 1211034	1976529	1977132	1959254	7123949
000065 875515	1419377	1409145	1253678	4957715
000066 645582	1038689	992828	906851	3583950
000067 556272	794855	745793	657450	2754370
000068 473430	654867	671359	616901	2416557
000069 468524	657671	668694	645054	2439943
000070 527708	706276	682008	678972	2594964
000071 567579	720896	669093	648582	2606150
000072 532077	692783	646164	612554	2483578
000073 504327	656252	617990	553535	2332104
000074 472372	576536	565209	488970	2103087
000075 463718	518314	529788	463753	1975573
000076 529712	567685	574779	526257	2198433
000077 669969	679402	664281	608931	2622583
000078 748034	718299	695244	620216	2781793
000079 748601	681390	680475	589213	2699679
000080 707693	598444	618347	538237	2462721
000081 647678	502728	538315	493970	2182691
000082 609118	448922	494651	485210	2037901
000083 615443	454224	502629	504036	2076332
000084 648842	485594	536755	529577	2200768
000085 674851	516417	553336	545981	2290585
000086 676253	529792	549804	550098	2305947
000087 660285	523769	532167	568504	2284725
000088 646688	515150	521680	588072	2271590
000089 649874	509217	518257	600371	2277719
000090 679397	509847	516433	611488	2317165
000091 696493	503730	512324	606293	2318840
000092 667793	498783	500893	575864	2243333
000093 618102	486963	480507	533388	2118960
000094 579812	471678	464294	503716	2019500
000095 553540	461016	447690	493306	1955552
000096 546613	450282	432723	485140	1914758
000097 561452	436461	420088	474317	1892318
000098 561446	424292	407330	473927	1866995
000099 531044	404794	392359	476528	1804725
000100 491754	316160	382765	455572	1646251
000101 465618	303997	374012	423645	1567272
000102 448258	294979	359166	397983	1500386
000103 437801	285776	311441	377861	1412879
000104 427304	275727	259903	360843	1323777
000105 412450	269093	248424	346002	1275969
000106 396937	256351	237008	327983	1218279
000107 382471	246826	227094	313196	1169587
000108 370487	237781	219970	297627	1125865
000109 355307	230899	212671	281021	1079898
000110 337961	225285	210522	263663	1037431
000111 320078	218586	204238	249247	992149
000112 300197	212978	197487	235024	945686
000113 281598	206484	188913	222454	899449
000114 269447	201807	181022	210940	863216
000115 255199	208780	173365	197656	835000
000116 240142	221441	165553	179508	806644
000117 222772	222234	156590	162611	764207
000118 207014	219511	151842	145545	723912
000119 192584	220860	156629	130632	700705
000120 180757	214035	167248	119231	681271
000121 171114	200613	165335	109647	646709
000122 160561	195974	163883	099358	619776
000123 149272	185959	166003	088821	590055
000124 139990	177880	158600	079235	555705
000125 132108	166335	150673	070342	519458
000126 124086	157633	145491	062649	489859
000127 117127	150132	137817	057028	462104
000128 111504	138745	131293	051014	432556
000129 106317	131595	122352	046054	406318
000130 101428	121170	115957	040927	379482
000131 096420	114308	108721	036310	355759
000132 092316	106881	101597	031691	332485
000133 088011	098594	095554	027582	309741
000134 083603	091589	087469	024342	287003
000135 081287	084075	081855	022178	269395
000136 077240	078745	075263	019637	250885
000137 073779	073329	069748	017156	234012
000138 070865	067253	065087	014736	217941
000139 068378	062282	059922	013202	203784
000140 066439	058171	056404	011696	192710
000141 063457	054592	051699	010434	180182
000142 061355	050354	047440	008862	168011
000143 058562	046350	043211	008153	156276
000144 055508	041711	039618	007260	144097
000145 052554	038147	036781	006525	134007
000146 050051	034312	033120	005767	123250
000147 047799	030298	030440	005125	113662
000148 045504	027068	027417	004820	104809
000149 043108	023523	025192	004297	096120
000150 040189	021272	022776	003811	088048
000151 037067	018739	019834	003646	079286
000152 033971	016530	017645	003201	071347
000153 030858	014579	016041	002970	064448
000154 027296	013116	014440	002733	057585
000155 023895	012052	012698	002474	051119
000156 020454	010784	011281	002217	044736
000157 018029	009815	010074	002022	039940
000158 016079	008733	009096	001863	035771
000159 014300	007755	008089	001774	031918
000160 012825	006543	007170	001685	028223
000161 011355	005994	006477	001470	025296
000162 010163	005502	005664	001349	022678
000163 008906	004895	004965	001266	020032
000164 007888	004257	004451	001155	017751
000165 006951	003708	003918	001140	015717
000166 006227	003368	003622	001057	014274
000167 005422	003055	003146	001042	012665
000168 004935	002770	002938	000927	011570
000169 004318	002550	002525	000817	010210
000170 003743	002239	002306	000702	008990
000171 003320	002050	001966	000599	007935
000172 002971	001826	001829	000551	007177
000173 002750	001649	001721	000494	006614
000174 002405	001500	001524	000452	005881
000175 002098	001386	001301	000396	005181
000176 001799	001168	001238	000300	004505
000177 001574	001079	001097	000314	004064
000178 001376	001003	000932	000271	003582
000179 001117	000878	000962	000257	003214
000180 000985	000826	000776	000205	002792
000181 000843	000664	000755	000135	002397
000182 000727	000642	000635	000158	002162
000183 000591	000566	000615	000157	001929
000184 000506	000544	000549	000152	001751
000185 000405	000439	000463	000163	001470
000186 000360	000431	000424	000148	001363
000187 000284	000326	000403	000156	001169
000188 000245	000299	000355	000134	001033
000189 000227	000264	000287	000123	000901
000190 000196	000224	000261	000122	000803
000191 000163	000228	000230	000122	000743
000192 000134	000192	000201	000102	000629
000193 000102	000170	000194	000101	000567
000194 000094	000155	000157	000098	000504
000195 000082	000135	000138	000085	000440
000196 000075	000124	000153	000094	000446
000197 000067	000111	000124	000102	000404
000198 000058	000087	000109	000081	000335
000199 000060	000107	000090	000085	000342
000200 000049	000074	000079	000091	000293
000201 000038	000079	000085	000078	000280
000202 000028	000063	000079	000087	000257
000203 000032	000065	000061	000080	000238
000204 000029	000060	000060	000093	000242
000205 000027	000062	000065	000072	000226
000206 000025	000039	000046	000078	000188
000207 000029	000050	000052	000074	000205
